Year,Unemployment indicator
1977.6667,0
1977.75,0
1977.8333,0
1977.9167,0
1978,0
1978.0833,0
1978.1667,0
1978.25,0
1978.3333,0
1978.4167,0
1978.5,0.0003
1978.5833,0
1978.6667,0.0002
1978.75,0
1978.8333,0
1978.9167,0.0001
1979,0.0005
1979.0833,0.0006
1979.1667,0.0001
1979.25,0
1979.3333,0
1979.4167,0
1979.5,0
1979.5833,0.0014
1979.6667,0.0019
1979.75,0.0027
1979.8333,0.0024
1979.9167,0.0026
1980,0.0037
1980.0833,0.005
1980.1667,0.0062
1980.25,0.0083
1980.3333,0.0123
1980.4167,0.0165
1980.5,0.0195
1980.5833,0.019
1980.6667,0.0181
1980.75,0.0168
1980.8333,0.0159
1980.9167,0.0146
1981,0.0133
1981.0833,0.012
1981.1667,0.0113
1981.25,0.0084
1981.3333,0.0046
1981.4167,0.0008
1981.5,0.0006
1981.5833,0.0003
1981.6667,0.0007
1981.75,0.003
1981.8333,0.0059
1981.9167,0.009
1982,0.0112
1982.0833,0.0132
1982.1667,0.015
1982.25,0.0174
1982.3333,0.0188
1982.4167,0.0205
1982.5,0.0222
1982.5833,0.0238
1982.6667,0.0252
1982.75,0.0249
1982.8333,0.025
1982.9167,0.0243
1983,0.0221
1983.0833,0.0191
1983.1667,0.0155
1983.25,0.0123
1983.3333,0.0094
1983.4167,0.0068
1983.5,0.0027
1983.5833,0
1983.6667,0
1983.75,0
1983.8333,0
1983.9167,0
1984,0
1984.0833,0
1984.1667,0
1984.25,0
1984.3333,0
1984.4167,0
1984.5,0
1984.5833,0.0002
1984.6667,0.0006
1984.75,0.0001
1984.8333,0
1984.9167,0
1985,0
1985.0833,0.0002
1985.1667,0
1985.25,0
1985.3333,0
1985.4167,0.0004
1985.5,0.0008
1985.5833,0.0005
1985.6667,0
1985.75,0
1985.8333,0
1985.9167,0
1986,0
1986.0833,0.0006
1986.1667,0.0012
1986.25,0.0027
1986.3333,0.0026
1986.4167,0.0028
1986.5,0.0025
1986.5833,0.0015
1986.6667,0.0009
1986.75,0.0006
1986.8333,0.0006
1986.9167,0
1987,0
1987.0833,0
1987.1667,0
1987.25,0
1987.3333,0
1987.4167,0
1987.5,0
1987.5833,0
1987.6667,0
1987.75,0
1987.8333,0
1987.9167,0
1988,0
1988.0833,0
1988.1667,0
1988.25,0
1988.3333,0
1988.4167,0
1988.5,0
1988.5833,0
1988.6667,0.0001
1988.75,0
1988.8333,0
1988.9167,0
1989,0.0001
1989.0833,0
1989.1667,0
1989.25,0
1989.3333,0
1989.4167,0.0009
1989.5,0.0009
1989.5833,0.0012
1989.6667,0.0012
1989.75,0.0016
1989.8333,0.0021
1989.9167,0.0022
1990,0.0023
1990.0833,0.0019
1990.1667,0.0016
1990.25,0.0017
1990.3333,0.0019
1990.4167,0.001
1990.5,0.0013
1990.5833,0.0022
1990.6667,0.0042
1990.75,0.0053
1990.8333,0.0068
1990.9167,0.0081
1991,0.0096
1991.0833,0.0109
1991.1667,0.0127
1991.25,0.0136
1991.3333,0.0146
1991.4167,0.0149
1991.5,0.015
1991.5833,0.0137
1991.6667,0.0117
1991.75,0.0109
1991.8333,0.01
1991.9167,0.0098
1992,0.0094
1992.0833,0.0093
1992.1667,0.0081
1992.25,0.0073
1992.3333,0.0066
1992.4167,0.0077
1992.5,0.0084
1992.5833,0.0084
1992.6667,0.0077
1992.75,0.0061
1992.8333,0.0049
1992.9167,0.0031
1993,0.0018
1993.0833,0
1993.1667,0
1993.25,0
1993.3333,0
1993.4167,0
1993.5,0
1993.5833,0
1993.6667,0
1993.75,0
1993.8333,0
1993.9167,0
1994,0
1994.0833,0
1994.1667,0
1994.25,0
1994.3333,0
1994.4167,0
1994.5,0
1994.5833,0
1994.6667,0
1994.75,0
1994.8333,0
1994.9167,0
1995,0
1995.0833,0
1995.1667,0
1995.25,0.0006
1995.3333,0.0013
1995.4167,0.002
1995.5,0.0017
1995.5833,0.0018
1995.6667,0.0018
1995.75,0.0013
1995.8333,0.0011
1995.9167,0.0009
1996,0.0014
1996.0833,0.001
1996.1667,0.0007
1996.25,0
1996.3333,0.0002
1996.4167,0
1996.5,0
1996.5833,0
1996.6667,0
1996.75,0
1996.8333,0.0008
1996.9167,0.0014
1997,0.0016
1997.0833,0.0012
1997.1667,0.0005
1997.25,0
1997.3333,0
1997.4167,0
1997.5,0
1997.5833,0
1997.6667,0
1997.75,0
1997.8333,0
1997.9167,0
1998,0
1998.0833,0
1998.1667,0
1998.25,0
1998.3333,0
1998.4167,0
1998.5,0.0007
1998.5833,0.001
1998.6667,0.0011
1998.75,0.0011
1998.8333,0.0008
1998.9167,0.0002
1999,0
1999.0833,0
1999.1667,0
1999.25,0.0001
1999.3333,0
1999.4167,0.0003
1999.5,0.0003
1999.5833,0.0004
1999.6667,0.0003
1999.75,0
1999.8333,0
1999.9167,0
2000,0
2000.0833,0.0001
2000.1667,0.0001
2000.25,0
2000.3333,0
2000.4167,0
2000.5,0.0007
2000.5833,0.0009
2000.6667,0.0008
2000.75,0.0003
2000.8333,0
2000.9167,0
2001,0.001
2001.0833,0.002
2001.1667,0.0031
2001.25,0.0037
2001.3333,0.0041
2001.4167,0.0049
2001.5,0.0056
2001.5833,0.0075
2001.6667,0.009
2001.75,0.0115
2001.8333,0.0136
2001.9167,0.0162
2002,0.0163
2002.0833,0.0158
2002.1667,0.0147
2002.25,0.015
2002.3333,0.015
2002.4167,0.0143
2002.5,0.0131
2002.5833,0.011
2002.6667,0.0091
2002.75,0.0063
2002.8333,0.0047
2002.9167,0.0031
2003,0.0024
2003.0833,0.002
2003.1667,0.0017
2003.25,0.0023
2003.3333,0.0031
2003.4167,0.0045
2003.5,0.0048
2003.5833,0.0047
2003.6667,0.004
2003.75,0.0033
2003.8333,0.002
2003.9167,0
2004,0
2004.0833,0
2004.1667,0.0004
2004.25,0
2004.3333,0.0001
2004.4167,0
2004.5,0
2004.5833,0
2004.6667,0
2004.75,0
2004.8333,0
2004.9167,0
2005,0
2005.0833,0.0001
2005.1667,0
2005.25,0
2005.3333,0
2005.4167,0
2005.5,0
2005.5833,0
2005.6667,0
2005.75,0
2005.8333,0.0005
2005.9167,0
2006,0
2006.0833,0
2006.1667,0
2006.25,0.0001
2006.3333,0
2006.4167,0
2006.5,0.0001
2006.5833,0.0002
2006.6667,0
2006.75,0
2006.8333,0
2006.9167,0
2007,0.0007
2007.0833,0.0008
2007.1667,0.0007
2007.25,0.0002
2007.3333,0
2007.4167,0.0005
2007.5,0.0011
2007.5833,0.0018
2007.6667,0.0022
2007.75,0.0023
2007.8333,0.0026
2007.9167,0.0036
2008,0.0045
2008.0833,0.005
2008.1667,0.0054
2008.25,0.0053
2008.3333,0.0072
2008.4167,0.0083
2008.5,0.0104
2008.5833,0.012
2008.6667,0.0135
2008.75,0.0158
2008.8333,0.0179
2008.9167,0.0207
2009,0.0242
2009.0833,0.0288
2009.1667,0.0332
2009.25,0.037
2009.3333,0.0385
2009.4167,0.0396
2009.5,0.0385
2009.5833,0.037
2009.6667,0.0359
2009.75,0.0353
2009.8333,0.0339
2009.9167,0.0304
2010,0.0254
2010.0833,0.0201
2010.1667,0.0154
2010.25,0.012
2010.3333,0.0079
2010.4167,0.0038
2010.5,0.0006
2010.5833,0
2010.6667,0.0002
2010.75,0.0002
2010.8333,0.0011
2010.9167,0.0007
2011,0
2011.0833,0
2011.1667,0
2011.25,0
2011.3333,0
2011.4167,0.0005
2011.5,0.0001
2011.5833,0
2011.6667,0
2011.75,0
2011.8333,0
2011.9167,0
2012,0
2012.0833,0
2012.1667,0
2012.25,0
2012.3333,0
2012.4167,0
2012.5,0
2012.5833,0
2012.6667,0
2012.75,0
2012.8333,0
2012.9167,0.0003
2013,0.001
2013.0833,0.0009
2013.1667,0
2013.25,0
2013.3333,0
2013.4167,0
2013.5,0
2013.5833,0
2013.6667,0
2013.75,0
2013.8333,0
2013.9167,0
2014,0
2014.0833,0
2014.1667,0
2014.25,0
2014.3333,0
2014.4167,0
2014.5,0
2014.5833,0
2014.6667,0
2014.75,0
2014.8333,0
2014.9167,0
2015,0
2015.0833,0
2015.1667,0
2015.25,0
2015.3333,0.0004
2015.4167,0
2015.5,0
2015.5833,0
2015.6667,0
2015.75,0
2015.8333,0
2015.9167,0
2016,0
2016.0833,0
2016.1667,0
2016.25,0.0008
2016.3333,0.0007
2016.4167,0.0003
2016.5,0
2016.5833,0.0002
2016.6667,0.0006
2016.75,0.0009
2016.8333,0.0004
2016.9167,0
2017,0
2017.0833,0
2017.1667,0
2017.25,0
2017.3333,0
2017.4167,0
2017.5,0
2017.5833,0.0001
2017.6667,0
2017.75,0
2017.8333,0
2017.9167,0
2018,0
2018.0833,0
2018.1667,0
2018.25,0
2018.3333,0
2018.4167,0
2018.5,0
2018.5833,0
2018.6667,0
2018.75,0
2018.8333,0
2018.9167,0.0006
2019,0.0011
2019.0833,0.0011
2019.1667,0.0007
2019.25,0
2019.3333,0
2019.4167,0
2019.5,0.0001
2019.5833,0.0001
2019.6667,0
2019.75,0
2019.8333,0
2019.9167,0.0002
2020,0.0001
2020.0833,0
2020.1667,0.0029
